Table 34.,,,,,,,,,,,,,,,,,,,,
ALIENS APPREHENDED BY REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2006 TO 2015,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Region and country of nationality,2006,2007,2008 1,2009 2,2010,2011,2012,2013,2014,2015,,,,,,,,,,
REGION,,,,,,,,,,,,,,,,,,,,
Total,"1,206,408","960,673","1,043,759","889,212","796,587","678,606","671,327","662,483","679,996","462,388",,,,,,,,,,
Africa,"3,543","3,083","5,218","5,652","5,762","5,209","4,755","3,772","3,308","2,296",,,,,,,,,,
Asia,"10,343","7,348","13,202","13,351","14,877","15,875","12,424","10,771","11,131","9,825",,,,,,,,,,
Europe,"3,036","2,502","5,151","5,100","5,571","5,520","5,548","4,447","3,915","2,379",,,,,,,,,,
North America,"1,179,599","938,836","1,003,131","848,800","754,304","637,354","634,711","629,884","648,576","439,102",,,,,,,,,,
Oceania,208,170,481,477,522,498,458,428,369,241,,,,,,,,,,
South America,"9,003","8,669","15,525","15,213","14,589","13,357","12,507","12,459","12,174","8,284",,,,,,,,,,
Unknown,676,65,"1,051",619,962,793,924,722,523,261,,,,,,,,,,
COUNTRY,,,,,,,,,,,,,,,,,,,,
Total,"1,206,408","960,673","1,043,759","889,212","796,587","678,606","671,327","662,483","679,996","462,388",,,,,,,,,,
Afghanistan,53,28,74,76,92,111,98,70,66,71,,,,,,,,,,
Albania,350,259,362,331,321,258,277,423,408,91,,,,,,,,,,
Algeria,50,49,59,53,62,36,42,27,42,26,,,,,,,,,,
Angola,11,13,30,24,22,28,22,16,13,11,,,,,,,,,,
Antigua-Barbuda,29,23,69,59,57,47,56,40,31,21,,,,,,,,,,
Argentina,293,227,440,507,431,421,324,235,212,123,,,,,,,,,,
Armenia,78,60,235,181,239,232,217,141,161,88,,,,,,,,,,
Australia,28,27,52,65,76,75,55,69,50,30,,,,,,,,,,
Austria,9,7,12,12,22,23,12,14,5,9,,,,,,,,,,
Azerbaijan,13,15,30,40,30,37,29,36,38,23,,,,,,,,,,
Bahamas,101,62,269,288,279,311,275,288,196,185,,,,,,,,,,
Bangladesh,190,182,278,223,325,272,262,366,476,467,,,,,,,,,,
Barbados,34,28,90,105,82,77,80,45,47,28,,,,,,,,,,
Belarus,22,17,52,72,66,58,51,42,20,15,,,,,,,,,,
Belgium,16,8,16,26,24,35,17,25,13,11,,,,,,,,,,
Belize,140,113,348,345,338,361,316,293,258,140,,,,,,,,,,
Benin,8,10,17,11,12,18,11,9,10,19,,,,,,,,,,
Bermuda,8,3,14,20,18,23,21,18,8,4,,,,,,,,,,
Bhutan,-,D,4,D,6,6,5,5,7,22,,,,,,,,,,
Bolivia,309,189,328,351,307,387,290,226,194,116,,,,,,,,,,
Bosnia-Herzegovina,66,60,108,175,202,201,198,179,131,115,,,,,,,,,,
Brazil,"2,957","2,902","3,888","3,392","3,532","3,228","2,433","1,702","1,643","1,911",,,,,,,,,,
British Virgin Islands,4,-,8,8,10,12,12,8,4,D,,,,,,,,,,
Bulgaria,70,71,121,102,103,95,110,52,49,36,,,,,,,,,,
Burkina Faso,13,12,31,24,29,20,29,19,17,6,,,,,,,,,,
Burma,26,18,53,36,54,35,54,48,48,47,,,,,,,,,,
Burundi,8,3,12,13,17,17,27,21,22,9,,,,,,,,,,
Cambodia,124,79,344,330,384,347,268,204,147,130,,,,,,,,,,
Cameroon,79,79,153,149,152,164,130,102,70,47,,,,,,,,,,
Canada,"1,201",767,"1,378","1,304","1,486","1,131","1,172",822,775,648,,,,,,,,,,
Cape Verde,57,48,127,116,118,105,110,66,35,32,,,,,,,,,,
Cayman Islands,D,-,6,9,10,6,6,5,4,3,,,,,,,,,,
Central African Republic,5,6,9,12,12,10,9,14,8,D,,,,,,,,,,
Chad,4,6,14,9,5,8,7,12,13,8,,,,,,,,,,
Chile,190,135,255,284,285,248,193,128,116,82,,,,,,,,,,
"China, People's Republic","2,987","1,623","2,282","2,920","2,709","2,546","2,350","1,918","2,601","1,875",,,,,,,,,,
