Table 37.,,,,,,,,,,,,,,
ALIENS DETERMINED INADMISSIBLE BY REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2006 TO 2015,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Region and country of nationality,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,
REGION,,,,,,,,,,,,,,
Total,"207,631","202,030","222,798","223,907","229,406","212,249","193,609","203,962","223,253","253,509",,,,
Africa,"4,558","3,909","4,147","4,875","5,613","4,230","3,523","3,948","4,706","6,314",,,,
Asia,"19,860","23,751","51,146","61,557","65,010","64,154","55,578","61,233","60,252","60,190",,,,
Europe,"18,949","17,309","23,399","24,780","22,880","21,121","17,998","17,877","17,746","17,959",,,,
North America,"154,113","147,767","134,932","124,540","129,213","117,258","111,730","115,397","134,843","161,541",,,,
Oceania,"1,468","1,236","1,229","1,431","1,054",829,836,903,910,"1,018",,,,
South America,"7,678","7,369","7,524","6,404","5,355","4,187","3,712","4,440","4,613","6,309",,,,
Unknown,"1,005",689,421,320,281,470,232,164,183,178,,,,
COUNTRY,,,,,,,,,,,,,,
Total,"207,631","202,030","222,798","223,907","229,406","212,249","193,609","203,962","223,253","253,509",,,,
Afghanistan,179,134,138,151,120,127,93,71,77,92,,,,
Albania,142,106,145,131,92,75,66,84,81,77,,,,
Algeria,113,82,130,166,136,68,73,43,43,111,,,,
Angola,24,23,39,24,13,24,27,54,49,38,,,,
Anguilla,13,8,4,4,9,6,D,D,D,4,,,,
Antigua-Barbuda,56,53,39,41,47,39,41,25,27,17,,,,
Argentina,411,297,342,263,210,148,129,177,168,230,,,,
Armenia,67,91,72,97,64,57,66,56,109,298,,,,
Australia,719,607,542,605,553,444,444,567,545,673,,,,
Austria,200,136,136,131,112,86,77,71,78,72,,,,
Azerbaijan,10,21,21,49,32,63,31,37,42,26,,,,
Bahamas,500,565,509,385,524,460,458,516,593,493,,,,
Bahrain,D,11,10,4,12,6,13,6,12,8,,,,
Bangladesh,319,263,299,375,332,310,316,292,640,981,,,,
Barbados,104,97,78,82,82,72,63,48,46,42,,,,
Belarus,50,60,83,114,79,89,61,48,52,55,,,,
Belgium,233,195,146,161,155,137,123,134,140,111,,,,
Belize,172,156,138,135,144,117,127,112,104,145,,,,
Benin,61,62,38,51,68,37,19,27,30,37,,,,
Bermuda,140,155,154,122,125,134,97,105,94,122,,,,
Bolivia,272,355,268,225,178,84,78,67,82,65,,,,
Bosnia-Herzegovina,64,69,86,67,63,35,51,60,54,62,,,,
Botswana,7,5,16,11,8,4,13,5,4,4,,,,
Brazil,"2,126","1,938","1,510","1,233","1,110",799,731,809,873,"1,165",,,,
British Virgin Islands,14,36,70,62,9,10,19,26,12,6,,,,
Bulgaria,230,216,348,336,334,272,278,228,146,232,,,,
Burkina Faso,57,30,28,24,22,12,22,23,39,79,,,,
Burma,103,546,"3,045","3,867","4,043","2,642","2,410","1,984","1,981","2,066",,,,
Burundi,36,64,19,14,29,24,23,31,16,23,,,,
Cambodia,39,52,67,38,52,34,30,24,17,37,,,,
Cameroon,176,170,130,90,102,136,152,334,315,293,,,,
Canada,"41,757","36,595","32,381","30,425","33,148","32,142","30,731","29,354","28,059","26,314",,,,
Cape Verde,29,15,37,52,74,61,48,22,29,34,,,,
Cayman Islands,35,22,32,21,19,16,20,12,16,16,,,,
Chad,22,22,29,13,11,3,4,5,25,14,,,,
Chile,296,292,309,252,209,162,111,183,257,413,,,,
"China, People's Republic","3,227","5,257","13,494","15,975","17,173","16,937","12,888","13,550","14,212","15,245",,,,
Colombia,"1,620","1,696","1,952","1,918","1,569","1,245","1,113","1,265","1,321","1,804",,,,
"Congo, Democratic Republic",8,11,10,22,27,25,64,58,70,119,,,,
"Congo, Republic",99,94,99,99,76,65,18,27,27,16,,,,
Costa Rica,575,547,501,440,284,218,229,215,211,239,,,,
Cote d'Ivoire,111,109,101,89,154,63,27,33,48,56,,,,
Croatia,66,88,232,170,261,244,194,177,203,192,,,,
Cuba,"10,401","12,993","11,265","7,037","7,442","7,759","12,253","17,679","24,285","43,158",,,,
