Table 41.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIENS REMOVED BY CRIMINAL STATUS AND REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2006 TO 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of nationality,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,
,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"280,974","98,490","182,484","319,382","102,394","216,988","359,795","105,266","254,529","391,341","131,837","259,504","381,738","169,656","212,082","386,020","188,964","197,056","416,324","200,143","216,181","434,015","198,981","235,034","407,075","169,253","237,822","333,341","139,950","193,391",
Africa,"2,103",704,"1,399","2,112",805,"1,307","2,064",647,"1,417","2,022",718,"1,304","1,886",666,"1,220","1,663",647,"1,016","1,434",673,761,"1,214",599,615,"1,266",521,745,"1,293",365,928,
Asia,"6,366","1,206","5,160","5,745","1,217","4,528","5,799","1,339","4,460","6,240","1,334","4,906","6,224","1,559","4,665","5,304","1,567","3,737","4,331","1,469","2,862","3,148","1,135","2,013","2,809","1,080","1,729","2,451",780,"1,671",
Europe,"3,156","1,054","2,102","3,164",953,"2,211","3,929","1,076","2,853","4,615","1,078","3,537","4,007","1,266","2,741","3,235","1,236","1,999","2,743","1,275","1,468","2,070","1,082",988,"1,717",890,827,"1,389",702,687,
North America,"256,952","92,206","164,746","296,082","96,498","199,584","335,707","99,139","236,568","366,005","125,416","240,589","358,237","162,443","195,794","366,137","181,887","184,250","399,950","193,320","206,630","421,438","193,235","228,203","395,844","164,136","231,708","322,882","135,899","186,983",
Oceania,218,113,105,248,143,105,304,165,139,317,160,157,314,203,111,315,218,97,256,189,67,237,193,44,231,184,47,177,146,31,
South America,"12,102","3,199","8,903","11,988","2,774","9,214","11,831","2,890","8,941","12,069","3,118","8,951","11,011","3,500","7,511","9,288","3,396","5,892","7,576","3,204","4,372","5,874","2,721","3,153","5,186","2,433","2,753","5,114","2,043","3,071",
Unknown,77,8,69,43,4,39,161,10,151,73,13,60,59,19,40,78,13,65,34,13,21,34,16,18,22,9,13,35,15,20,
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"280,974","98,490","182,484","319,382","102,394","216,988","359,795","105,266","254,529","391,341","131,837","259,504","381,738","169,656","212,082","386,020","188,964","197,056","416,324","200,143","216,181","434,015","198,981","235,034","407,075","169,253","237,822","333,341","139,950","193,391",
Afghanistan,20,12,8,27,11,16,31,11,20,18,6,12,17,5,12,17,9,8,21,D,D,12,5,7,17,10,7,9,D,D,
Albania,252,32,220,246,23,223,331,34,297,296,42,254,238,51,187,171,37,134,112,37,75,60,30,30,47,23,24,40,21,19,
Algeria,41,18,23,27,6,21,21,4,17,27,3,24,16,D,D,13,4,9,19,9,10,5,D,D,7,3,4,14,D,D,
Angola,16,D,D,17,3,14,17,D,D,20,D,D,10,D,D,13,4,9,7,D,D,18,D,D,15,3,12,10,3,7,
Antigua-Barbuda,40,33,7,45,37,8,28,23,5,43,28,15,24,18,6,19,12,7,39,24,15,21,16,5,13,13,-,16,11,5,
Argentina,457,88,369,395,76,319,390,84,306,448,106,342,351,121,230,286,114,172,217,110,107,147,83,64,118,64,54,132,58,74,
Armenia,97,27,70,74,34,40,86,43,43,95,29,66,83,31,52,58,31,27,56,37,19,33,28,5,29,D,D,16,D,D,
Australia,54,20,34,52,21,31,47,14,33,83,19,64,69,30,39,52,21,31,37,14,23,46,24,22,43,18,25,32,16,16,
Austria,10,D,D,13,8,5,18,3,15,20,D,D,19,7,12,25,5,20,8,4,4,14,5,9,4,-,4,7,3,4,
Bahamas,91,68,23,97,72,25,105,82,23,143,99,44,106,89,17,134,110,24,108,90,18,98,80,18,102,87,15,73,66,7,
Bangladesh,151,22,129,138,25,113,115,17,98,104,17,87,96,24,72,88,28,60,73,20,53,53,11,42,83,28,55,64,13,51,
Barbados,46,41,5,40,33,7,44,39,5,48,36,12,44,34,10,41,32,9,50,42,8,26,23,3,16,12,4,12,12,-,
Belarus,24,7,17,21,4,17,25,9,16,36,11,25,26,10,16,22,11,11,29,12,17,14,10,4,20,13,7,8,D,D,
Belgium,14,4,10,17,4,13,21,D,D,27,3,24,31,7,24,17,7,10,15,9,6,13,6,7,10,4,6,7,4,3,
Belize,211,112,99,233,116,117,213,109,104,242,126,116,253,157,96,215,155,60,209,148,61,177,118,59,130,79,51,134,83,51,
Benin,11,4,7,7,3,4,14,3,11,9,4,5,8,4,4,5,D,D,8,4,4,4,D,D,8,D,D,8,3,5,
Bermuda,D,-,D,D,-,D,9,3,6,15,9,6,13,8,5,14,D,D,8,4,4,10,10,-,6,D,D,11,7,4,
Bolivia,352,61,291,382,37,345,276,54,222,278,54,224,215,67,148,195,93,102,151,94,57,120,66,54,84,46,38,69,37,32,
Bosnia-Herzegovina,42,28,14,42,29,13,45,31,14,57,49,8,61,50,11,63,53,10,53,49,4,73,67,6,52,46,6,55,43,12,
Brazil,"4,217",563,"3,654","4,210",352,"3,858","3,836",368,"3,468","3,724",388,"3,336","3,533",487,"3,046","3,350",550,"2,800","2,397",424,"1,973","1,449",368,"1,081",953,284,669,992,282,710,
Bulgaria,64,10,54,80,23,57,77,11,66,82,14,68,73,17,56,68,17,51,52,23,29,39,24,15,34,16,18,34,17,17,
Burkina Faso,17,3,14,13,4,9,18,6,12,11,5,6,8,3,5,4,-,4,9,3,6,9,3,6,12,-,12,24,D,D,
Burma,14,-,14,22,D,D,10,D,D,5,D,D,13,D,D,11,D,D,7,D,D,4,D,D,4,D,D,5,D,D,
Cambodia,27,11,16,29,17,12,40,22,18,46,28,18,43,25,18,89,74,15,89,81,8,17,11,6,68,64,4,15,15,-,
Cameroon,60,11,49,63,10,53,66,12,54,55,10,45,71,19,52,75,15,60,47,25,22,29,17,12,33,16,17,31,11,20,
Canada,"1,413",423,990,"1,263",411,852,"1,302",347,955,"1,325",418,907,"1,340",457,883,"1,290",417,873,965,383,582,800,380,420,704,300,404,629,258,371,
Cape Verde,37,30,7,61,50,11,35,26,9,49,42,7,47,36,11,27,10,17,10,4,6,4,D,D,12,6,6,8,4,4,
Chad,D,D,-,3,D,D,7,-,7,6,-,6,10,D,D,4,D,D,D,D,D,D,-,D,D,D,D,4,-,4,
Chile,245,60,185,237,73,164,211,68,143,205,70,135,185,95,90,155,87,68,105,62,43,99,57,42,83,48,35,88,41,47,
"China, People's Republic","1,362",132,"1,230",864,97,767,877,188,689,966,135,831,"1,060",166,894,"1,025",217,808,"1,039",208,831,788,171,617,659,137,522,634,117,517,
Colombia,"2,788","1,307","1,481","2,993","1,191","1,802","2,590","1,081","1,509","2,714","1,124","1,590","2,402","1,241","1,161","1,899","1,048",851,"1,591","1,055",536,"1,440",961,479,"1,349",859,490,"1,538",763,775,
"Congo, Democratic Republic",23,7,16,17,4,13,32,5,27,17,6,11,11,4,7,15,D,D,13,4,9,D,-,D,4,-,4,6,D,D,
"Congo, Republic",26,3,23,17,5,12,22,5,17,21,4,17,23,D,D,21,6,15,10,4,6,7,D,D,11,6,5,4,D,D,
Costa Rica,795,100,695,655,88,567,692,132,560,695,123,572,553,157,396,378,157,221,400,132,268,321,125,196,283,125,158,219,87,132,
Cote d'Ivoire,41,8,33,30,4,26,43,10,33,24,4,20,30,4,26,26,11,15,26,8,18,18,9,9,8,D,D,10,3,7,
Croatia,15,5,10,13,6,7,24,9,15,23,7,16,23,7,16,18,8,10,18,11,7,9,6,3,6,D,D,9,D,D,
Cuba,124,39,85,76,26,50,65,32,33,130,86,44,106,73,33,79,56,23,62,54,8,39,26,13,30,18,12,38,15,23,
Czech Republic,34,D,D,41,8,33,52,13,39,66,17,49,78,19,59,46,18,28,48,20,28,7,-,7,39,6,33,24,15,9,
Czechoslovakia (former),68,16,52,52,12,40,55,12,43,48,5,43,29,6,23,15,D,D,19,6,13,37,18,19,9,D,D,D,D,-,
Denmark,8,D,D,14,3,11,17,D,D,31,5,26,27,4,23,9,5,4,15,3,12,D,D,-,6,D,D,6,-,6,
Dominica,28,14,14,49,29,20,35,22,13,35,18,17,38,23,15,33,21,12,22,17,5,17,9,8,14,11,3,11,7,4,
Dominican Republic,"3,107","2,206",901,"2,990","2,044",946,"3,232","2,046","1,186","3,576","2,207","1,369","3,371","2,241","1,130","2,892","2,142",750,"2,867","2,182",685,"2,297","1,811",486,"2,066","1,640",426,"1,865","1,512",353,
Ecuador,"1,750",470,"1,280","1,564",392,"1,172","2,330",532,"1,798","2,383",602,"1,781","2,385",692,"1,693","1,716",704,"1,012","1,763",706,"1,057","1,510",585,925,"1,528",565,963,"1,414",481,933,
Egypt,172,30,142,145,29,116,166,37,129,157,36,121,123,40,83,109,29,80,100,28,72,67,23,44,73,20,53,53,21,32,
