Table 40.,,,,,,,
ALIENS RETURNED BY REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2009 TO 2015,,,,,,,
                                   ,,,       ,,,,
Region and country of nationality,2009,2010,2011,2012,2013,2014,2015
REGION,,,,,,,
Total,"582,596","474,195","322,098","230,360","178,691","163,245","129,122"
Africa,"3,073","3,441","2,389","1,724","1,505","1,710","2,182"
Asia,"53,825","57,789","56,693","46,364","44,554","46,552","45,381"
Europe,"19,255","18,200","17,185","13,291","12,403","12,159","11,476"
North America,"501,543","390,702","241,952","166,062","117,316","100,161","67,012"
Oceania,"1,074",792,624,597,601,601,668
South America,"3,640","3,139","2,961","2,174","2,222","1,957","2,294"
Unknown,186,132,294,148,90,105,109
COUNTRY,,,,,,,
Total,"582,596","474,195","322,098","230,360","178,691","163,245","129,122"
Afghanistan,98,85,93,56,42,37,48
Albania,87,47,36,47,22,32,15
Algeria,141,131,56,57,39,29,88
Angola,13,7,11,20,21,33,21
Antigua-Barbuda,11,18,9,14,8,12,9
Argentina,120,98,89,62,71,83,78
Armenia,18,15,6,12,5,6,11
Australia,423,431,351,335,396,379,459
Austria,82,76,57,53,46,34,32
Azerbaijan,40,33,52,14,27,22,22
Bahamas,314,474,433,416,485,552,449
Bahrain,4,11,4,8,4,10,D
Bangladesh,310,281,248,238,167,169,198
Barbados,47,44,43,37,24,20,19
Belarus,91,52,71,44,24,22,31
Belgium,124,115,111,105,98,106,71
Belize,65,51,39,38,37,33,28
Benin,43,59,21,11,19,18,15
Bermuda,78,88,115,79,93,75,103
Bolivia,90,59,99,85,43,35,19
Bosnia-Herzegovina,32,26,24,22,10,17,14
Brazil,773,766,721,542,491,478,476
British Virgin Islands,42,5,5,11,19,6,D
Bulgaria,296,271,199,186,118,52,137
Burkina Faso,15,16,8,18,13,21,23
Burma,"3,783","3,951","2,582","2,337","1,920","1,888","2,012"
Burundi,9,19,11,12,12,7,6
Cambodia,21,28,15,16,13,11,8
Cameroon,54,55,66,49,47,36,72
Canada,"25,373","29,144","28,273","27,038","23,965","23,258","22,538"
Cape Verde,35,41,26,30,8,9,5
Cayman Islands,15,11,6,10,3,7,3
Chile,140,133,125,81,120,171,268
"China, People's Republic","15,154","16,449","16,234","11,780","11,688","12,238","12,782"
Colombia,893,777,645,435,450,390,521
"Congo, Democratic Republic",D,7,10,29,17,32,74
"Congo, Republic",50,47,33,14,19,16,6
Costa Rica,163,122,132,94,55,51,59
Cote d'Ivoire,45,120,43,18,18,24,30
Croatia,121,192,158,87,79,87,101
Cuba,85,108,105,90,77,64,56
Cyprus,16,10,5,10,5,11,15
Czech Republic,100,101,105,144,133,105,129
Czechoslovakia (former),82,54,23,4,5,D,D
Denmark,97,88,72,74,59,46,52
Dominica,59,30,37,24,27,11,17
Dominican Republic,786,741,763,764,534,331,383
Ecuador,411,328,336,303,212,187,238
Egypt,454,520,326,299,188,186,166
El Salvador,"1,072",949,"1,021",921,626,502,405
Eritrea,10,9,11,9,10,9,18
Estonia,70,55,42,28,35,26,44
Ethiopia,73,73,54,33,47,61,58
Fiji,333,109,72,51,57,46,33
Finland,79,39,50,39,34,39,46
France,917,970,842,661,609,688,591
Gabon,11,4,10,6,5,4,12
Gambia,14,9,14,11,8,D,3
Georgia,378,309,107,82,80,71,72
Germany,690,670,627,552,502,423,412
Ghana,231,159,150,128,83,69,89
Greece,311,365,291,294,376,450,435
Grenada,36,37,16,22,22,18,14
Guatemala,"1,860","2,314","3,026","2,332","1,369","1,103",793
Guinea,29,17,25,16,5,12,15
Guyana,192,183,167,88,80,45,74
